AK,
AL,FL;GA;MS;TN
AR,LA;MO;MS;OK;TN;TX
AZ,CA;CO;NM;NV;UT
CA,NV;OR;AZ
CO,KS;NE;NM;OK;UT;WY
CT,MA;NY;RI
DC,MD;VA
DE,MD;NJ;PA
FL,GA;AL
GA,AL;SC;TN;FL
HI,
IA,IL;MN;MO;NE;SD;WI
ID,MT;NV;OR;UT;WA;WY
IL,IN;KY;MO;WI;IA;MI
IN,KY;MI;OH;IL
KS,MO;NE;OK;CO
KY,MO;OH;TN;VA;WV;IN;IL
LA,MS;TX;AR
MA,NH;NY;RI;VT;CT
MD,PA;VA;WV;DE
ME,NH
MI,OH;WI;IL;IN
MN,ND;SD;WI;IA
MO,NE;OK;TN;KS;AR;KY;IL
MS,TN;AL;AR;LA
MT,ND;SD;WY;ID
NC,SC;TN;VA
ND,SD;MN;MT
NE,SD;WY;CO;KS;MO,IA
NH,VT;MA;ME
NJ,NY;PA
NM,OK;TX;UT;CO;AZ
NV,OR;UT;ID;CA;AZ
NY,PA;VT;MA;CT;NJ
OH,PA;WV;KY;IN;MI
OK,TX;AR;MO;KS;CO;NM
OR,WA;CA;NV;ID
PA,WV;NJ;MD;NY;OH
RI,CT;MA
SC,NC;GA
SD,WY;MT;ND;MN;IA;NE
TN,VA;KY;NC;TN;MO;IL;IN;OH;WV
TX,LA;AR;OK;NM
UT,WY;CO;NM;AZ;NV;ID
VA,WV;MD;KY;TN;NC
WA,ID;OR
WV,PA;MD;VA;KY;OH
WI,MI;IL;IA;MN
WY,MT;SD;NE;CO;UT;ID